district,rating_score,accuracry_review,cleanliness_review,checkin_review,communication_review,location_review,value_score,host_response_rate_float,district,room_type,accommodates,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,bathrooms,bath_text,other_bath,Entirehome/apt
District 19,4.87,4.91,4.93,4.97,4.95,4.38,4.86,0.98,District 19,Entire home/apt,4,2.5 baths,2.0,2.0,"[""Nespresso machine"", ""Microwave"", ""Wifi"", ""Freezer"", ""Body soap"", ""Essentials"", ""Backyard"", ""Extra pillows and blankets"", ""Indoor fireplace"", ""Hangers"", ""Refrigerator"", ""Baking sheet"", ""Private entrance"", ""Heating"", ""Stove"", ""Fire extinguisher"", ""Free street parking"", ""Cooking basics"", ""Carbon monoxide alarm"", ""TV with standard cable"", ""Cable TV"", ""Bathtub"", ""Hair dryer"", ""Iron"", ""Bed linens"", ""Dryer"", ""Private patio or balcony"", ""Keurig coffee machine"", ""Private hot tub"", ""Luggage dropoff allowed"", ""First aid kit"", ""Cleaning products"", ""Kitchen"", ""Barbecue utensils"", ""Free parking on premises"", ""Shampoo"", ""Hot water"", ""Ceiling fan"", ""Dining table"", ""Outdoor furniture"", ""Washer"", ""Dishes and silverware"", ""Dedicated workspace"", ""Toaster"", ""Conditioner"", ""Oven"", ""Coffee maker"", ""Air conditioning"", ""Dishwasher"", ""Wine glasses"", ""Fire pit"", ""Smart lock"", ""Smoke alarm"", ""Board games"", ""Security cameras on property"", ""Long term stays allowed"", ""Shower gel""]",$227.00,2,35,2,baths,0,0
District 19,4.97,4.98,4.99,4.99,4.98,4.75,4.94,0.98,District 19,Entire home/apt,2,1.5 baths,1.0,1.0,"[""Free street parking"", ""Dryer"", ""TV"", ""Wifi"", ""Coffee maker"", ""Carbon monoxide alarm"", ""Air conditioning"", ""Bathtub"", ""Dishwasher"", ""Bedroom comforts"", ""Free parking on premises"", ""Self check-in"", ""Bathroom essentials"", ""Fire extinguisher"", ""Smoke alarm"", ""Heating"", ""Full kitchen"", ""Washer"", ""Hair dryer"", ""Iron""]",$142.00,2,60,1,baths,0,0
District 6,4.85,4.85,4.83,4.77,4.85,4.7,4.77,1.0,District 6,Private room,1,1 private bath,1.0,1.0,"[""Microwave"", ""Wifi"", ""Essentials"", ""Extra pillows and blankets"", ""Refrigerator"", ""Hangers"", ""Patio or balcony"", ""Heating"", ""Stove"", ""Fire extinguisher"", ""Cooking basics"", ""TV with standard cable"", ""Cable TV"", ""Bathtub"", ""Hair dryer"", ""Bed linens"", ""Iron"", ""Dryer"", ""First aid kit"", ""Kitchen"", ""Free parking on premises"", ""Hot water"", ""Washer"", ""Dishes and silverware"", ""Dedicated workspace"", ""Oven"", ""Coffee maker"", ""Air conditioning"", ""Dishwasher"", ""Smoke alarm"", ""Backyard"", ""Long term stays allowed""]",$28.00,30,365,1,private,bath,1
District 19,4.87,4.89,4.89,4.96,4.92,4.87,4.88,1.0,District 19,Private room,3,1 private bath,1.0,2.0,"[""Microwave"", ""Wifi"", ""Freezer"", ""Outdoor dining area"", ""Pocket wifi"", ""Host greets you"", ""Essentials"", ""Extra pillows and blankets"", ""Hangers"", ""Private entrance"", ""Heating"", ""Fire extinguisher"", ""Free street parking"", ""TV"", ""Carbon monoxide alarm"", ""Mini fridge"", ""Bathtub"", ""Hair dryer"", ""Bed linens"", ""Iron"", ""Private patio or balcony"", ""Luggage dropoff allowed"", ""Portable fans"", ""First aid kit"", ""Private fenced garden or backyard"", ""Kitchen"", ""Hot water"", ""Ceiling fan"", ""Dining table"", ""Outdoor furniture"", ""Laundromat nearby"", ""Dishes and silverware"", ""Dedicated workspace"", ""Clothing storage: closet and dresser"", ""Coffee maker"", ""Air conditioning"", ""Hot water kettle"", ""Wine glasses"", ""Smoke alarm"", ""Shower gel""]",$129.00,2,14,1,private,bath,1
District 21,4.68,4.8,4.84,4.9,4.93,4.02,4.63,1.0,District 21,Entire home/apt,10,2 baths,3.0,3.0,"[""Microwave"", ""Wifi"", ""Essentials"", ""Refrigerator"", ""Hangers"", ""Lockbox"", ""Heating"", ""Stove"", ""Fire extinguisher"", ""Cooking basics"", ""TV with standard cable"", ""Cable TV"", ""Hair dryer"", ""Iron"", ""Dryer"", ""Kitchen"", ""Free parking on premises"", ""Hot water"", ""Washer"", ""Dishes and silverware"", ""Dedicated workspace"", ""Oven"", ""Coffee maker"", ""Air conditioning"", ""Dishwasher"", ""Smoke alarm"", ""Security cameras on property"", ""Long term stays allowed""]",$332.00,2,1125,2,baths,0,0
District 19,4.71,4.78,4.76,4.91,4.92,4.72,4.66,1.0,District 19,Entire home/apt,6,1 bath,1.0,4.0,"[""Microwave"", ""Keypad"", ""Wifi"", ""Freezer"", ""Body soap"", ""Paid dryer \u2013 In building"", ""Essentials"", ""Extra pillows and blankets"", ""Refrigerator"", ""Hangers"", ""Baking sheet"", ""Private entrance"", ""Heating"", ""Stove"", ""Fire extinguisher"", ""Free street parking"", ""Record player"", ""Cooking basics"", ""Carbon monoxide alarm"", ""TV with standard cable"", ""Clothing storage: closet"", ""Cable TV"", ""Gym"", ""Pool"", ""Hair dryer"", ""Iron"", ""Babysitter recommendations"", ""Bed linens"", ""Room-darkening shades"", ""First aid kit"", ""Cleaning products"", ""Kitchen"", ""Free parking on premises"", ""Hot water"", ""Shampoo"", ""Dining table"", ""Paid washer \u2013 In building"", ""Dishes and silverware"", ""Dedicated workspace"", ""Toaster"", ""Conditioner"", ""Oven"", ""Coffee maker"", ""Air conditioning"", ""Dishwasher"", ""Wine glasses"", ""Smoke alarm"", ""Long term stays allowed"", ""Shower gel""]",$155.00,1,90,1,bath,0,0
District 6,4.98,4.98,4.99,5.0,4.98,4.93,4.96,1.0,District 6,Entire home/apt,3,1 bath,1.0,1.0,"[""Wifi"", ""Essentials"", ""Extra pillows and blankets"", ""Refrigerator"", ""Hangers"", ""Patio or balcony"", ""Private entrance"", ""Heating"", ""Fire extinguisher"", ""Free street parking"", ""TV"", ""Carbon monoxide alarm"", ""Hair dryer"", ""Bed linens"", ""Iron"", ""First aid kit"", ""Free parking on premises"", ""Hot water"", ""Shampoo"", ""Dedicated workspace"", ""Coffee maker"", ""Air conditioning"", ""Smart lock"", ""Smoke alarm"", ""Backyard"", ""Security cameras on property""]",$95.00,2,5,1,bath,0,0
District 7,4.94,4.94,4.93,4.98,5.0,4.91,4.94,1.0,District 7,Entire home/apt,4,1 bath,2.0,4.0,"[""Microwave"", ""Outlet covers"", ""Keypad"", ""Wifi"", ""Essentials"", ""Extra pillows and blankets"", ""Refrigerator"", ""Hangers"", ""Patio or balcony"", ""Private entrance"", ""Single level home"", ""Heating"", ""Stove"", ""Fire extinguisher"", ""Cooking basics"", ""Carbon monoxide alarm"", ""TV with standard cable"", ""Cable TV"", ""Bathtub"", ""Crib"", ""Bed linens"", ""Hair dryer"", ""Dryer"", ""Iron"", ""Luggage dropoff allowed"", ""First aid kit"", ""Kitchen"", ""Free parking on premises"", ""Hot water"", ""Shampoo"", ""Washer"", ""Dishes and silverware"", ""Dedicated workspace"", ""Oven"", ""Coffee maker"", ""Air conditioning"", ""Smoke alarm"", ""Backyard"", ""Security cameras on property"", ""Long term stays allowed""]",$109.00,3,28,1,bath,0,0
District 7,4.95,4.96,4.98,5.0,4.99,4.91,4.91,1.0,District 7,Entire home/apt,4,1 bath,2.0,2.0,"[""Microwave"", ""Outlet covers"", ""Keypad"", ""Wifi"", ""Outdoor dining area"", ""Essentials"", ""Backyard"", ""Extra pillows and blankets"", ""Refrigerator"", ""Hangers"", ""Patio or balcony"", ""Private entrance"", ""Heating"", ""Stove"", ""Fire extinguisher"", ""Free street parking"", ""Cooking basics"", ""Carbon monoxide alarm"", ""Goat Milk Soap handmade by Heaven Scent Farms body soap"", ""TV with standard cable"", ""Mini fridge"", ""Cable TV"", ""Bathtub"", ""Hair dryer"", ""Bed linens"", ""Babysitter recommendations"", ""Clothing storage: wardrobe, closet, and dresser"", ""Iron"", ""Luggage dropoff allowed"", ""BBQ grill"", ""Children\u2019s books and toys"", ""Portable fans"", ""First aid kit"", ""Pour-over coffee"", ""Kitchen"", ""Barbecue utensils"", ""Free parking on premises"", ""Hot water"", ""Shampoo"", ""Outdoor furniture"", ""Children\u2019s dinnerware"", ""Laundromat nearby"", ""Dishes and silverware"", ""Dedicated workspace"", ""Oven"", ""Coffee maker"", ""Air conditioning"", ""Hot water kettle"", ""Wine glasses"", ""Fire pit"", ""Smoke alarm"", ""Board games"", ""Long term stays allowed""]",$79.00,2,30,1,bath,0,0
District 17,4.99,4.98,5.0,4.99,4.99,4.99,4.98,1.0,District 17,Entire home/apt,3,1 bath,2.0,2.0,"[""Microwave"", ""Wifi"", ""Host greets you"", ""Essentials"", ""Extra pillows and blankets"", ""Refrigerator"", ""Hangers"", ""Private entrance"", ""Heating"", ""Fire extinguisher"", ""Free street parking"", ""Carbon monoxide alarm"", ""TV with standard cable"", ""Cable TV"", ""Hair dryer"", ""Bed linens"", ""Iron"", ""Luggage dropoff allowed"", ""First aid kit"", ""Hot water"", ""Dishes and silverware"", ""Dedicated workspace"", ""Coffee maker"", ""Air conditioning"", ""Smoke alarm"", ""Shower gel""]",$85.00,2,10,1,bath,0,0
District 18,5.0,5.0,4.96,5.0,4.91,5.0,4.88,1.0,District 18,Entire home/apt,6,3 baths,2.0,3.0,"[""Nespresso machine"", ""Microwave"", ""Wifi"", ""Freezer"", ""Host greets you"", ""Essentials"", ""Extra pillows and blankets"", ""Indoor fireplace"", ""Hangers"", ""Refrigerator"", ""Baking sheet"", ""Patio or balcony"", ""Heating"", ""Stove"", ""Fire extinguisher"", ""Free street parking"", ""Cooking basics"", ""Carbon monoxide alarm"", ""TV with standard cable"", ""Cable TV"", ""Bathtub"", ""Hair dryer"", ""Bed linens"", ""Iron"", ""Dryer"", ""BBQ grill"", ""Portable fans"", ""First aid kit"", ""Pour-over coffee"", ""Dove body soap"", ""Kitchen"", ""Barbecue utensils"", ""Free parking on premises"", ""Hot water"", ""Shampoo"", ""Washer"", ""Dishes and silverware"", ""Dedicated workspace"", ""Conditioner"", ""Oven"", ""Coffee maker"", ""Air conditioning"", ""Dishwasher"", ""Piano"", ""Smoke alarm"", ""Backyard"", ""Long term stays allowed""]",$600.00,4,1125,3,baths,0,0
District 19,4.89,4.86,4.79,4.97,4.95,4.95,4.82,1.0,District 19,Entire home/apt,2,1 bath,1.0,1.0,"[""Microwave"", ""Keypad"", ""Wifi"", ""TV with Roku"", ""Body soap"", ""Paid dryer \u2013 In building"", ""Essentials"", ""Extra pillows and blankets"", ""Hangers"", ""Private entrance"", ""Single level home"", ""Heating"", ""Fire extinguisher"", ""Free street parking"", ""Free carport on premises \u2013 1 space"", ""Cooking basics"", ""Mini fridge"", ""Cleaning before checkout"", ""Hair dryer"", ""Bed linens"", ""Iron"", ""Shared patio or balcony"", ""Room-darkening shades"", ""Window AC unit"", ""Luggage dropoff allowed"", ""First aid kit"", ""Cleaning products"", ""Kitchen"", ""Pour-over coffee"", ""Ethernet connection"", ""Hot water"", ""Shampoo"", ""Paid washer \u2013 In building"", ""Dishes and silverware"", ""Dedicated workspace"", ""Toaster"", ""Coffee maker"", ""Hot water kettle"", ""Smoke alarm"", ""Long term stays allowed""]",$94.00,3,1125,1,bath,0,0
District 7,4.65,4.65,4.48,4.89,4.87,4.75,4.67,0.9,District 7,Entire home/apt,3,1 bath,1.0,1.0,"[""Dedicated workspace"", ""Dryer"", ""Dishes and silverware"", ""TV"", ""Wifi"", ""Air conditioning"", ""Kitchen"", ""Essentials"", ""Free parking on premises"", ""Hangers"", ""Long term stays allowed"", ""Heating"", ""Washer"", ""Hair dryer"", ""Iron""]",$89.00,30,1125,1,bath,0,0
District 6,4.95,4.94,4.94,4.97,4.94,4.9,4.87,1.0,District 6,Private room,2,1 private bath,1.0,1.0,"[""TV"", ""Wifi"", ""Coffee maker"", ""Carbon monoxide alarm"", ""Air conditioning"", ""Children\u2019s books and toys"", ""Pack \u2019n play/Travel crib"", ""Bedroom comforts"", ""Free parking on premises"", ""Self check-in"", ""Bathroom essentials"", ""Smoke alarm"", ""Backyard"", ""Heating"", ""Fire extinguisher"", ""Hair dryer"", ""Iron""]",$115.00,2,14,1,private,bath,1
District 6,4.92,4.99,4.99,4.97,4.97,4.8,4.88,1.0,District 6,Entire home/apt,2,1 bath,1.0,1.0,"[""Microwave"", ""Keypad"", ""Wifi"", ""Freezer"", ""Pocket wifi"", ""Essentials"", ""Refrigerator"", ""Hangers"", ""Heating"", ""Stove"", ""Fire extinguisher"", ""Free street parking"", ""Cooking basics"", ""Carbon monoxide alarm"", ""TV with standard cable"", ""Cable TV"", ""Hair dryer"", ""Iron"", ""Private patio or balcony"", ""Dryer"", ""Private fenced garden or backyard"", ""Pour-over coffee"", ""Kitchen"", ""Free parking on premises"", ""Hot water"", ""Shampoo"", ""Ceiling fan"", ""Washer"", ""Dishes and silverware"", ""Dedicated workspace"", ""Toaster"", ""Oven"", ""Coffee maker"", ""Air conditioning"", ""Hot water kettle"", ""Wine glasses"", ""Smoke alarm"", ""Long term stays allowed""]",$111.00,2,1125,1,bath,0,0
District 7,4.97,4.96,4.97,5.0,4.99,5.0,4.94,1.0,District 7,Entire home/apt,12,2.5 baths,4.0,8.0,"[""Dryer"", ""Microwave"", ""TV"", ""Wifi"", ""Coffee maker"", ""Hot tub"", ""Air conditioning"", ""First aid kit"", ""Kitchen"", ""Essentials"", ""Free parking on premises"", ""Indoor fireplace"", ""Fire extinguisher"", ""Smoke alarm"", ""Long term stays allowed"", ""Heating"", ""Washer"", ""Dishes and silverware""]",$625.00,3,360,2,baths,0,0
District 6,4.87,4.91,4.92,4.98,4.99,4.96,4.89,1.0,District 6,Entire home/apt,2,1 bath,1.0,1.0,"[""Microwave"", ""Wifi"", ""Essentials"", ""Extra pillows and blankets"", ""Refrigerator"", ""Hangers"", ""Private entrance"", ""Single level home"", ""Heating"", ""Stove"", ""Fire extinguisher"", ""Free street parking"", ""Cooking basics"", ""Carbon monoxide alarm"", ""Building staff"", ""Hair dryer"", ""Bed linens"", ""Babysitter recommendations"", ""Dryer"", ""Iron"", ""Luggage dropoff allowed"", ""Children\u2019s books and toys"", ""Pack \u2019n play/Travel crib"", ""First aid kit"", ""Kitchen"", ""Free parking on premises"", ""Hot water"", ""Shampoo"", ""Washer"", ""Dishes and silverware"", ""Dedicated workspace"", ""Oven"", ""Coffee maker"", ""Air conditioning"", ""Smoke alarm"", ""Backyard"", ""Long term stays allowed""]",$90.00,2,1125,1,bath,0,0
District 6,4.89,4.9,4.94,4.96,4.96,4.89,4.86,1.0,District 6,Entire home/apt,6,1 bath,2.0,2.0,"[""Microwave"", ""Wifi"", ""Essentials"", ""Extra pillows and blankets"", ""Refrigerator"", ""Hangers"", ""Patio or balcony"", ""Private entrance"", ""Heating"", ""Stove"", ""Fire extinguisher"", ""Free street parking"", ""Cooking basics"", ""Carbon monoxide alarm"", ""TV with standard cable"", ""Cable TV"", ""Bathtub"", ""Hair dryer"", ""Bed linens"", ""Iron"", ""Dryer"", ""Luggage dropoff allowed"", ""Children\u2019s books and toys"", ""Pack \u2019n play/Travel crib"", ""First aid kit"", ""Kitchen"", ""Free parking on premises"", ""Hot water"", ""Shampoo"", ""Washer"", ""Dishes and silverware"", ""Dedicated workspace"", ""Oven"", ""Coffee maker"", ""Air conditioning"", ""Smoke alarm"", ""Backyard"", ""Long term stays allowed""]",$174.00,1,160,1,bath,0,0
District 12,4.9,4.9,4.7,5.0,4.8,4.7,4.7,1.0,District 12,Private room,1,1 private bath,1.0,1.0,"[""Microwave"", ""Wifi"", ""Lock on bedroom door"", ""Essentials"", ""Refrigerator"", ""Hangers"", ""Patio or balcony"", ""Heating"", ""Stove"", ""Fire extinguisher"", ""Free street parking"", ""TV"", ""Cooking basics"", ""Carbon monoxide alarm"", ""Cleaning before checkout"", ""Hair dryer"", ""Bed linens"", ""Iron"", ""Dryer"", ""Kitchen"", ""Free parking on premises"", ""Hot water"", ""Shampoo"", ""Washer"", ""Dishes and silverware"", ""Dedicated workspace"", ""Oven"", ""Coffee maker"", ""Air conditioning"", ""Smoke alarm"", ""Backyard"", ""Security cameras on property"", ""Long term stays allowed""]",$35.00,31,365,1,private,bath,1
District 7,4.78,4.74,4.73,4.9,4.93,4.63,4.72,1.0,District 7,Entire home/apt,4,1 bath,3.0,4.0,"[""Microwave"", ""Wifi"", ""Essentials"", ""Extra pillows and blankets"", ""Refrigerator"", ""Hangers"", ""Patio or balcony"", ""Lockbox"", ""Private entrance"", ""Heating"", ""Stove"", ""Fire extinguisher"", ""TV"", ""Cooking basics"", ""Carbon monoxide alarm"", ""Bathtub"", ""Hair dryer"", ""Bed linens"", ""Babysitter recommendations"", ""Iron"", ""Luggage dropoff allowed"", ""BBQ grill"", ""Children\u2019s books and toys"", ""First aid kit"", ""Kitchen"", ""Free parking on premises"", ""Hot water"", ""Shampoo"", ""Outdoor furniture"", ""Dishes and silverware"", ""Dedicated workspace"", ""Oven"", ""Coffee maker"", ""Air conditioning"", ""Smoke alarm"", ""Backyard"", ""High chair"", ""Long term stays allowed""]",$99.00,30,1125,1,bath,0,0
District 7,4.94,4.96,4.95,4.94,4.95,4.84,4.94,0.9,District 7,Entire home/apt,6,1 bath,1.0,3.0,"[""Microwave"", ""Outlet covers"", ""Wifi"", ""Outdoor dining area"", ""Essentials"", ""Refrigerator"", ""Hangers"", ""Patio or balcony"", ""Lockbox"", ""Private entrance"", ""Heating"", ""Stove"", ""Fire extinguisher"", ""Free street parking"", ""Cooking basics"", ""Carbon monoxide alarm"", ""TV with standard cable"", ""Cable TV"", ""Bikes"", ""Hair dryer"", ""Iron"", ""Babysitter recommendations"", ""Dryer"", ""Room-darkening shades"", ""Luggage dropoff allowed"", ""Children\u2019s books and toys"", ""Portable fans"", ""Pack \u2019n play/Travel crib"", ""Cleaning products"", ""First aid kit"", ""Kitchen"", ""Free parking on premises"", ""Hot water"", ""Shampoo"", ""Outdoor furniture"", ""Children\u2019s dinnerware"", ""Washer"", ""Dishes and silverware"", ""Dedicated workspace"", ""Oven"", ""Coffee maker"", ""Air conditioning"", ""Fire pit"", ""Smoke alarm"", ""Backyard"", ""High chair"", ""Long term stays allowed""]",$135.00,2,1125,1,bath,0,0
District 21,4.76,4.75,4.88,4.92,4.93,4.29,4.7,1.0,District 21,Entire home/apt,10,2 baths,3.0,4.0,"[""Microwave"", ""Wifi"", ""Essentials"", ""Extra pillows and blankets"", ""Refrigerator"", ""Hangers"", ""Baking sheet"", ""Patio or balcony"", ""Lockbox"", ""Heating"", ""Stove"", ""Fire extinguisher"", ""Free street parking"", ""Cooking basics"", ""Carbon monoxide alarm"", ""TV with standard cable"", ""Cable TV"", ""Bathtub"", ""Hair dryer"", ""Iron"", ""Bed linens"", ""Dryer"", ""Kitchen"", ""Free parking on premises"", ""Hot water"", ""Shampoo"", ""Ceiling fan"", ""Washer"", ""Dishes and silverware"", ""Dedicated workspace"", ""Conditioner"", ""Oven"", ""Coffee maker"", ""Air conditioning"", ""Dishwasher"", ""Smoke alarm"", ""Security cameras on property"", ""Long term stays allowed"", ""Shower gel""]",$349.00,2,1125,2,baths,0,0
