district,rating_score,accuracry_review,cleanliness_review,checkin_review,communication_review,location_review,value_score,host_response_rate_float,room_type,accommodates,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,district,bathrooms,bath_text,other_bath,Entirehome/apt
District 37212,4.93,4.97,4.95,4.97,5.0,4.97,4.89,1.0,Entire home/apt,4,1 bath,2.0,2.0,"[""Free street parking"", ""Dryer"", ""TV"", ""Wifi"", ""Coffee maker"", ""Carbon monoxide alarm"", ""Air conditioning"", ""Bedroom comforts"", ""Free parking on premises"", ""Self check-in"", ""Bathroom essentials"", ""Fire extinguisher"", ""Smoke alarm"", ""Backyard"", ""Heating"", ""Full kitchen"", ""Washer"", ""Hair dryer"", ""Iron""]",$194.00,3,1125,District 37212,1,bath,0,0
District 37212,4.96,4.98,4.92,4.97,4.96,4.98,4.89,1.0,Entire home/apt,8,2.5 baths,2.0,4.0,"[""Microwave"", ""Wifi"", ""Essentials"", ""Extra pillows and blankets"", ""Refrigerator"", ""Hangers"", ""Patio or balcony"", ""Private entrance"", ""Single level home"", ""Heating"", ""Stove"", ""Fire extinguisher"", ""Free street parking"", ""TV"", ""Cooking basics"", ""Carbon monoxide alarm"", ""Bathtub"", ""Crib"", ""Bed linens"", ""Hair dryer"", ""Dryer"", ""Iron"", ""Luggage dropoff allowed"", ""Pack \u2019n play/Travel crib"", ""First aid kit"", ""Kitchen"", ""Free parking on premises"", ""Hot water"", ""Shampoo"", ""Washer"", ""Dishes and silverware"", ""Dedicated workspace"", ""Oven"", ""Coffee maker"", ""Air conditioning"", ""Dishwasher"", ""Smoke alarm"", ""Security cameras on property"", ""Long term stays allowed""]",$302.00,1,30,District 37212,2,baths,0,0
District 37212,4.95,4.98,4.82,4.98,5.0,4.95,4.86,1.0,Entire home/apt,4,1 bath,2.0,2.0,"[""Microwave"", ""Keypad"", ""Wifi"", ""Essentials"", ""Extra pillows and blankets"", ""Refrigerator"", ""Hangers"", ""Patio or balcony"", ""Private entrance"", ""Heating"", ""Stove"", ""Fire extinguisher"", ""Free street parking"", ""TV"", ""Cooking basics"", ""Carbon monoxide alarm"", ""Hair dryer"", ""Bed linens"", ""Iron"", ""First aid kit"", ""Kitchen"", ""Free parking on premises"", ""Hot water"", ""Shampoo"", ""Dishes and silverware"", ""Dedicated workspace"", ""Oven"", ""Coffee maker"", ""Air conditioning"", ""Smoke alarm"", ""Backyard"", ""Long term stays allowed""]",$178.00,7,30,District 37212,1,bath,0,0
District 37212,4.91,4.97,4.91,4.94,4.86,4.94,4.74,1.0,Entire home/apt,8,3.5 baths,3.0,4.0,"[""Microwave"", ""Wifi"", ""Freezer"", ""Body soap"", ""Essentials"", ""Refrigerator"", ""Hangers"", ""Patio or balcony"", ""Private entrance"", ""Heating"", ""Stove"", ""Fire extinguisher"", ""Clothing storage"", ""Free street parking"", ""TV"", ""Cooking basics"", ""Carbon monoxide alarm"", ""Bathtub"", ""Hair dryer"", ""Iron"", ""Bed linens"", ""Dryer"", ""Kitchen"", ""Free parking on premises"", ""Hot water"", ""Shampoo"", ""Washer"", ""Dishes and silverware"", ""Dedicated workspace"", ""Conditioner"", ""Oven"", ""Coffee maker"", ""Air conditioning"", ""Dishwasher"", ""Wine glasses"", ""Smoke alarm"", ""Long term stays allowed"", ""Shower gel""]",$149.00,1,365,District 37212,3,baths,0,0
District 37212,4.88,5.0,4.96,4.56,4.68,4.96,4.68,1.0,Entire home/apt,8,3.5 baths,3.0,4.0,"[""Microwave"", ""Wifi"", ""Freezer"", ""Body soap"", ""Essentials"", ""Refrigerator"", ""Hangers"", ""Patio or balcony"", ""Private entrance"", ""Heating"", ""Stove"", ""Fire extinguisher"", ""Clothing storage"", ""Free street parking"", ""TV"", ""Cooking basics"", ""Carbon monoxide alarm"", ""Bathtub"", ""Hair dryer"", ""Iron"", ""Bed linens"", ""Dryer"", ""Kitchen"", ""Free parking on premises"", ""Hot water"", ""Shampoo"", ""Washer"", ""Dishes and silverware"", ""Dedicated workspace"", ""Conditioner"", ""Oven"", ""Coffee maker"", ""Air conditioning"", ""Dishwasher"", ""Wine glasses"", ""Smoke alarm"", ""Long term stays allowed"", ""Shower gel""]",$149.00,1,365,District 37212,3,baths,0,0
District 37212,4.93,4.95,4.99,4.96,4.98,4.95,4.94,1.0,Entire home/apt,6,1 bath,2.0,2.0,"[""Microwave"", ""Keypad"", ""Wifi"", ""TV with Roku"", ""Essentials"", ""Refrigerator"", ""Hangers"", ""Baking sheet"", ""Heating"", ""Stove"", ""Fire extinguisher"", ""Free street parking"", ""Cooking basics"", ""Carbon monoxide alarm"", ""Cleaning before checkout"", ""Hair dryer"", ""Bed linens"", ""Iron"", ""Private patio or balcony"", ""Room-darkening shades"", ""Luggage dropoff allowed"", ""First aid kit"", ""Kitchen"", ""Free parking on premises"", ""Hot water"", ""Shampoo"", ""Outdoor furniture"", ""Dishes and silverware"", ""Dedicated workspace"", ""Coffee maker"", ""Air conditioning"", ""Dishwasher"", ""Smoke alarm"", ""Backyard"", ""Long term stays allowed"", ""Shower gel""]",$105.00,1,1125,District 37212,1,bath,0,0
District 37212,4.92,4.94,4.82,4.94,4.84,4.8,4.9,1.0,Entire home/apt,12,3.5 baths,4.0,11.0,"[""Microwave"", ""Keypad"", ""Wifi"", ""Essentials"", ""Refrigerator"", ""Hangers"", ""Patio or balcony"", ""Private entrance"", ""Heating"", ""Stove"", ""Fire extinguisher"", ""Free street parking"", ""TV"", ""Cooking basics"", ""Carbon monoxide alarm"", ""Hair dryer"", ""Iron"", ""Dryer"", ""Kitchen"", ""Free parking on premises"", ""Hot water"", ""Shampoo"", ""Washer"", ""Dishes and silverware"", ""Dedicated workspace"", ""Conditioner"", ""Oven"", ""Coffee maker"", ""Air conditioning"", ""Dishwasher"", ""Smoke alarm"", ""Long term stays allowed""]",$217.00,2,1125,District 37212,3,baths,0,0
District 37212,4.97,4.94,4.94,5.0,5.0,4.81,4.88,0.99,Entire home/apt,12,3.5 baths,4.0,7.0,"[""Microwave"", ""Wifi"", ""Essentials"", ""Baby monitor"", ""Extra pillows and blankets"", ""Refrigerator"", ""Hangers"", ""Patio or balcony"", ""Private entrance"", ""Heating"", ""Stove"", ""Fire extinguisher"", ""Free street parking"", ""Cooking basics"", ""Carbon monoxide alarm"", ""TV with standard cable"", ""Cable TV"", ""Bathtub"", ""Hair dryer"", ""Bed linens"", ""Babysitter recommendations"", ""Dryer"", ""Iron"", ""Room-darkening shades"", ""Luggage dropoff allowed"", ""Pack \u2019n play/Travel crib"", ""First aid kit"", ""Kitchen"", ""Free parking on premises"", ""Hot water"", ""Shampoo"", ""Children\u2019s dinnerware"", ""Washer"", ""Dishes and silverware"", ""Dedicated workspace"", ""Oven"", ""Coffee maker"", ""Air conditioning"", ""Dishwasher"", ""Smart lock"", ""Smoke alarm"", ""Security cameras on property"", ""High chair"", ""Long term stays allowed""]",$224.00,2,28,District 37212,3,baths,0,0
District 37212,5.0,5.0,4.75,4.75,5.0,5.0,4.75,0.99,Entire home/apt,16,7 baths,8.0,13.0,"[""Microwave"", ""Wifi"", ""Baby bath"", ""Essentials"", ""Baby monitor"", ""Extra pillows and blankets"", ""Indoor fireplace"", ""Hangers"", ""Refrigerator"", ""Patio or balcony"", ""Private entrance"", ""Heating"", ""Stove"", ""Fire extinguisher"", ""Free street parking"", ""Baby safety gates"", ""Cooking basics"", ""Game console"", ""Carbon monoxide alarm"", ""TV with standard cable"", ""Free residential garage on premises \u2013 2 spaces"", ""Cable TV"", ""Bathtub"", ""Hair dryer"", ""Bed linens"", ""Iron"", ""Dryer"", ""Babysitter recommendations"", ""Room-darkening shades"", ""Fireplace guards"", ""Luggage dropoff allowed"", ""Children\u2019s books and toys"", ""Pack \u2019n play/Travel crib"", ""First aid kit"", ""Kitchen"", ""Hot water"", ""Changing table"", ""Shampoo"", ""Children\u2019s dinnerware"", ""Washer"", ""Dishes and silverware"", ""Dedicated workspace"", ""Oven"", ""Coffee maker"", ""Air conditioning"", ""Dishwasher"", ""Smart lock"", ""Smoke alarm"", ""Security cameras on property"", ""High chair"", ""Long term stays allowed""]","$1,000.00",3,1125,District 37212,7,baths,0,0
District 37212,4.92,4.88,4.72,5.0,5.0,4.84,4.88,1.0,Entire home/apt,12,3.5 baths,4.0,8.0,"[""Microwave"", ""Wifi"", ""Essentials"", ""Refrigerator"", ""Hangers"", ""Private entrance"", ""Heating"", ""Stove"", ""Fire extinguisher"", ""Free street parking"", ""Cooking basics"", ""TV with standard cable"", ""Cable TV"", ""Hair dryer"", ""Bed linens"", ""Iron"", ""Dryer"", ""Kitchen"", ""Free parking on premises"", ""Hot water"", ""Shampoo"", ""Washer"", ""Dishes and silverware"", ""Dedicated workspace"", ""Oven"", ""Coffee maker"", ""Air conditioning"", ""Dishwasher"", ""Smoke alarm"", ""Long term stays allowed""]",$299.00,2,365,District 37212,3,baths,0,0
District 37212,5.0,5.0,5.0,4.96,5.0,4.96,4.84,1.0,Entire home/apt,12,4 baths,4.0,9.0,"[""Microwave"", ""Wifi"", ""Essentials"", ""Extra pillows and blankets"", ""Refrigerator"", ""Hangers"", ""Patio or balcony"", ""Private entrance"", ""Heating"", ""Stove"", ""Fire extinguisher"", ""Free street parking"", ""Cooking basics"", ""Carbon monoxide alarm"", ""TV with standard cable"", ""Cable TV"", ""Hair dryer"", ""Bed linens"", ""Iron"", ""Dryer"", ""First aid kit"", ""Kitchen"", ""Free parking on premises"", ""Hot water"", ""Shampoo"", ""Washer"", ""Dishes and silverware"", ""Dedicated workspace"", ""Oven"", ""Coffee maker"", ""Air conditioning"", ""Dishwasher"", ""Smart lock"", ""Smoke alarm"", ""Long term stays allowed""]",$418.00,2,365,District 37212,4,baths,0,0
District 37212,5.0,5.0,5.0,5.0,5.0,5.0,4.88,1.0,Entire home/apt,8,3.5 baths,3.0,4.0,"[""Microwave"", ""Wifi"", ""Essentials"", ""Extra pillows and blankets"", ""Refrigerator"", ""Hangers"", ""Private entrance"", ""Heating"", ""Stove"", ""Fire extinguisher"", ""Free street parking"", ""Cooking basics"", ""Carbon monoxide alarm"", ""TV with standard cable"", ""Cable TV"", ""Hair dryer"", ""Bed linens"", ""Iron"", ""Dryer"", ""Room-darkening shades"", ""First aid kit"", ""Kitchen"", ""Free parking on premises"", ""Hot water"", ""Shampoo"", ""Washer"", ""Dishes and silverware"", ""Dedicated workspace"", ""Oven"", ""Coffee maker"", ""Air conditioning"", ""Dishwasher"", ""Smart lock"", ""Smoke alarm"", ""Security cameras on property"", ""Long term stays allowed""]",$317.00,2,365,District 37212,3,baths,0,0
District 37212,5.0,5.0,5.0,5.0,5.0,5.0,4.81,1.0,Entire home/apt,6,2.5 baths,2.0,3.0,"[""Microwave"", ""Wifi"", ""Essentials"", ""Extra pillows and blankets"", ""Refrigerator"", ""Hangers"", ""Private entrance"", ""Heating"", ""Stove"", ""Fire extinguisher"", ""Cooking basics"", ""TV with standard cable"", ""Cable TV"", ""Hair dryer"", ""Bed linens"", ""Iron"", ""Dryer"", ""Room-darkening shades"", ""First aid kit"", ""Kitchen"", ""Free parking on premises"", ""Hot water"", ""Shampoo"", ""Washer"", ""Dishes and silverware"", ""Dedicated workspace"", ""Oven"", ""Coffee maker"", ""Air conditioning"", ""Dishwasher"", ""Smart lock"", ""Smoke alarm"", ""Security cameras on property"", ""Long term stays allowed""]",$264.00,2,365,District 37212,2,baths,0,0
District 37212,4.86,4.95,4.86,5.0,5.0,5.0,4.9,1.0,Entire home/apt,6,1 bath,3.0,5.0,"[""Keypad"", ""Wifi"", ""Essentials"", ""Refrigerator"", ""Hangers"", ""Private entrance"", ""Heating"", ""Fire extinguisher"", ""Free street parking"", ""TV"", ""Carbon monoxide alarm"", ""Hair dryer"", ""Iron"", ""Bed linens"", ""Dryer"", ""Keurig coffee machine"", ""First aid kit"", ""Free parking on premises"", ""Hot water"", ""Shampoo"", ""Washer"", ""Dishes and silverware"", ""Conditioner"", ""Coffee maker"", ""Air conditioning"", ""Smoke alarm"", ""Shower gel""]",$219.00,2,12,District 37212,1,bath,0,0
District 37212,5.0,5.0,5.0,5.0,5.0,4.89,5.0,1.0,Entire home/apt,12,3.5 baths,4.0,7.0,"[""Microwave"", ""Keypad"", ""Wifi"", ""Essentials"", ""Extra pillows and blankets"", ""Refrigerator"", ""Hangers"", ""Private entrance"", ""Heating"", ""Fire extinguisher"", ""Free street parking"", ""Cooking basics"", ""Carbon monoxide alarm"", ""TV with standard cable"", ""Cable TV"", ""Bathtub"", ""Hair dryer"", ""Bed linens"", ""Iron"", ""Dryer"", ""Private patio or balcony"", ""Room-darkening shades"", ""Gas stove"", ""First aid kit"", ""Kitchen"", ""Free parking on premises"", ""Ethernet connection"", ""Hot water"", ""Washer"", ""Dishes and silverware"", ""Dedicated workspace"", ""Oven"", ""Coffee maker"", ""Air conditioning"", ""Dishwasher"", ""Smoke alarm"", ""Security cameras on property"", ""Long term stays allowed""]","$5,000.00",2,1125,District 37212,3,baths,0,0
District 37208,4.76,4.75,4.88,4.92,4.93,4.29,4.7,1.0,Entire home/apt,10,2 baths,3.0,4.0,"[""Microwave"", ""Wifi"", ""Essentials"", ""Extra pillows and blankets"", ""Refrigerator"", ""Hangers"", ""Baking sheet"", ""Patio or balcony"", ""Lockbox"", ""Heating"", ""Stove"", ""Fire extinguisher"", ""Free street parking"", ""Cooking basics"", ""Carbon monoxide alarm"", ""TV with standard cable"", ""Cable TV"", ""Bathtub"", ""Hair dryer"", ""Iron"", ""Bed linens"", ""Dryer"", ""Kitchen"", ""Free parking on premises"", ""Hot water"", ""Shampoo"", ""Ceiling fan"", ""Washer"", ""Dishes and silverware"", ""Dedicated workspace"", ""Conditioner"", ""Oven"", ""Coffee maker"", ""Air conditioning"", ""Dishwasher"", ""Smoke alarm"", ""Security cameras on property"", ""Long term stays allowed"", ""Shower gel""]",$349.00,2,1125,District 37208,2,baths,0,0
District 37208,4.88,4.95,4.88,4.95,4.95,4.18,4.82,1.0,Entire home/apt,10,2.5 baths,3.0,3.0,"[""Microwave"", ""Outlet covers"", ""Keypad"", ""Wifi"", ""Freezer"", ""Outdoor dining area"", ""Body soap"", ""Pocket wifi"", ""Baby bath"", ""Essentials"", ""Backyard"", ""Baby monitor"", ""Extra pillows and blankets"", ""Indoor fireplace"", ""Hangers"", ""Refrigerator"", ""Baking sheet"", ""Private entrance"", ""Patio or balcony"", ""Heating"", ""Stove"", ""Fire extinguisher"", ""Free street parking"", ""Baby safety gates"", ""Cooking basics"", ""Game console"", ""Carbon monoxide alarm"", ""Cable TV"", ""Bathtub"", ""Hair dryer"", ""Iron"", ""Bed linens"", ""Dryer"", ""Babysitter recommendations"", ""Crib"", ""Room-darkening shades"", ""Keurig coffee machine"", ""Luggage dropoff allowed"", ""Clothing storage: dresser and walk-in closet"", ""Cleaning products"", ""Pack \u2019n play/Travel crib"", ""First aid kit"", ""Kitchen"", ""Free parking on premises"", ""Ethernet connection"", ""Hot water"", ""Shampoo"", ""Ceiling fan"", ""Outdoor furniture"", ""Washer"", ""Dishes and silverware"", ""Dedicated workspace"", ""Oven"", ""Coffee maker"", ""Air conditioning"", ""Dishwasher"", ""Hot water kettle"", ""Wine glasses"", ""50\"" HDTV with Amazon Prime Video, Netflix, standard cable"", ""Fire pit"", ""Smoke alarm"", ""Board games"", ""Security cameras on property"", ""High chair"", ""Long term stays allowed"", ""Shower gel""]",$246.00,2,1125,District 37208,2,baths,0,0
District 37208,4.95,5.0,4.7,4.95,4.95,4.95,4.75,0.99,Entire home/apt,16,7 baths,8.0,8.0,"[""Microwave"", ""Wifi"", ""Freezer"", ""Body soap"", ""Essentials"", ""Baby monitor"", ""Extra pillows and blankets"", ""Refrigerator"", ""Hangers"", ""Patio or balcony"", ""Private entrance"", ""Clothing storage: walk-in closet and closet"", ""Heating"", ""Stove"", ""Fire extinguisher"", ""Free street parking"", ""Cooking basics"", ""Carbon monoxide alarm"", ""TV with standard cable"", ""Cable TV"", ""Bathtub"", ""Hair dryer"", ""Bed linens"", ""Babysitter recommendations"", ""Dryer"", ""Iron"", ""Crib"", ""Room-darkening shades"", ""Keurig coffee machine"", ""Luggage dropoff allowed"", ""Pack \u2019n play/Travel crib"", ""Cleaning products"", ""First aid kit"", ""Kitchen"", ""Free parking on premises"", ""Shampoo"", ""Hot water"", ""Ceiling fan"", ""Dining table"", ""Children\u2019s dinnerware"", ""Washer"", ""Dishes and silverware"", ""Dedicated workspace"", ""Toaster"", ""Conditioner"", ""Oven"", ""Coffee maker"", ""Air conditioning"", ""Dishwasher"", ""Hot water kettle"", ""Wine glasses"", ""Smart lock"", ""Smoke alarm"", ""High chair"", ""Long term stays allowed""]",$633.00,3,1125,District 37208,7,baths,0,0
